USDentalSchools,AverageDAT,AverageGPA
University of Alabama at Birmingham School of Dentistry,21,3.71
Arizona School of Dentistry and Oral Health,19,3.37
Midwestern University College of Dental Medicine - Arizona,19.8,
Herman Ostrow School of Dentistry of the University of Southern California,20,3.5
Loma Linda University School of Dentistry,19.9,3.46
"University of California, Los Angeles School of Dentistry",22.6,3.94
"University of California, San Francisco School of Dentistry",21,3.51
University of the Pacific Arthur A. Dugoni School of Dentistry,21,3.5
Western University of Health Sciences College of Dental Medicine,19,3.26
The University of Colorado School of Dental Medicine,19.9,3.64
University of Connecticut School of Dental Medicine,21,3.61
Howard University College of Dentistry,17.9,
Lake Erie College of Osteopathic Medicine School of Dental Medicine,19.3,3.69
Nova Southeastern University College of Dental Medicine,20,3.67
University of Florida College of Dentistry,20.3,3.8
Georgia Regents University College of Dental Medicine,19.4,3.71
Midwestern University - Illinois College of Dental Medicine-Illinois,18.6,3.43
Southern Illinois University School of Dental Medicine,19.1,3.62
University of Illinois at Chicago College of Dentistry,20,3.68
Indiana University School of Dentistry,19.3,3.5
The University of Iowa College of Dentistry and Dental Clinics,20,3.74
University of Kentucky College of Dentistry,19,3.51
University of Louisville School of Dentistry,19.3,3.55
Louisiana State University Health New Orleans School of Dentistry,19.8,3.64
University of New England College of Dental Medicine,18.2,3.33
University of Maryland School of Dentistry,20.6,3.53
Boston University Henry M. Goldman School of Dental Medicine,19.8,3.51
Harvard School of Dental Medicine,23,3.85
Tufts University School of Dental Medicine,19.8,3.4
University of Detroit Mercy School of Dentistry,20.4,3.64
University of Michigan School of Dentistry,20.1,3.53
University of Minnesota School of Dentistry,20.1,3.57
University of Mississippi Medical Center School of Dentistry,18.7,3.62
Missouri School of Dentistry and Oral Health,18.4,3.45
University of Missouri-Kansas City School of Dentistry,18.9,3.6
Creighton University School of Dentistry,19.1,3.61
University of Nebraska Medical Center College of Dentistry,20.1,3.74
"University of Nevada, Las Vegas School of Dental Medicine",19.9,3.47
"Rutgers, The State University of New Jersey, School of Dental Medicine",20,3.7
Columbia University College of Dental Medicine,23,3.63
New York University College of Dentistry,21,3.46
Stony Brook University School of Dental Medicine,22,3.72
University at Buffalo School of Dental Medicine,20.1,3.52
East Carolina University School of Dental Medicine,18.2,3.4
University of North Carolina at Chapel Hill School of Dentistry,20.4,3.58
Case Western Reserve University School of Dental Medicine,19.9,3.61
The Ohio State University College of Dentistry,19.7,3.61
University of Oklahoma College of Dentistry,20,3.48
Oregon Health & Science University School of Dentistry,19.7,3.61
"The Maurice H. Kornberg School of Dentistry, Temple University",20,3.5
University of Pennsylvania School of Dental Medicine,21.5,3.67
University of Pittsburgh School of Dental Medicine,20.7,3.65
University of Puerto Rico School of Dental Medicine,17,3.5
Medical University of South Carolina James B. Edwards College of Dental Medicine,20,3.66
Meharry Medical College School of Dentistry,17,3.2
University of Tennessee Health Science Center College of Dentistry,19.3,3.58
Texas A&M University Baylor College of Dentistry,20.7,3.57
The University of Texas Health Science Center at Houston,20,3.59
University of Texas Health Science Center at San Antonio Dental School,19.4,3.68
Roseman University of Health Sciences College of Dental Medicine,20,3.32
University of Utah School of Dentistry,21,3.79
Virginia Commonwealth University School of Dentistry,20.1,3.62
University of Washington School of Dentistry,20.4,3.61
West Virginia University School of Dentistry,17.7,3.57
Marquette University School of Dentistry,19.8,3.65